study,id,t,r,n,study_year,unpublished_data,rob,unpublished
Hale2010 (CL3-20098-045),8,agomelatine,30,252,2008,1,1,0
Hale2010 (CL3-20098-045),8,fluoxetine,49,263,2008,1,1,0
Montgomery2004b (CL3-20098-030),10,agomelatine,35,167,2001,1,1,0
Montgomery2004b (CL3-20098-030),10,paroxetine,35,168,2001,1,1,0
CL3-20098-036,11,agomelatine,17,137,2004,1,1,0
CL3-20098-036,11,venlafaxine,26,140,2004,1,1,0
CL3-20098-048,12,agomelatine,52,213,2008,1,1,0
CL3-20098-048,12,paroxetine,50,199,2008,1,1,0
"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ",13,agomelatine,70,314,2008,1,1,0
"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ",13,fluoxetine,75,314,2008,1,1,0
"
Quera-Salva2010 (CL3-20098-056)",14,agomelatine,6,71,2008,1,1,0
"
Quera-Salva2010 (CL3-20098-056)",14,escitalopram,8,67,2008,1,1,0
CL3-20098-062,15,agomelatine,37,202,2010,1,1,0
CL3-20098-062,15,duloxetine,35,216,2010,1,1,0
Corruble2013 (CL3-20098-063),16,agomelatine,20,164,2008,1,1,0
Corruble2013 (CL3-20098-063),16,escitalopram,23,160,2008,1,1,0
Lemoine2007 (CL3-20098-035),18,agomelatine,16,165,2004,1,2,0
Lemoine2007 (CL3-20098-035),18,venlafaxine,36,167,2004,1,2,0
Chouinard1983a,47,amitriptyline,6,41,1983,0,2,0
Chouinard1983a,47,bupropion,18,77,1983,0,2,0
Feighner1991,51,fluoxetine,18,62,1991,0,2,0
Feighner1991,51,bupropion,16,61,1991,0,2,0
Weisler1994,52,bupropion,26,63,1994,0,2,0
Weisler1994,52,trazodone,24,61,1994,0,2,0
Thase2006 (WELL 100368),60,bupropion,72,171,2005,1,2,0
Thase2006 (WELL 100368),60,venlafaxine,81,177,2006,1,2,0
WELL AK140016,74,bupropion,14,69,2001,1,2,1
WELL AK140016,74,paroxetine,18,71,2001,1,2,1
Andersen1986,81,citalopram,12,57,1986,0,2,0
Andersen1986,81,clomipramine,8,57,1986,0,2,0
Timmerman1993 (Study 89422 - FDA and Haffmans 1996),83,fluvoxamine,29,109,1993,1,1,0
Timmerman1993 (Study 89422 - FDA and Haffmans 1996),83,citalopram,22,108,1993,1,1,0
Patris1996 (Study 91301 - FDA),84,fluoxetine,21,184,1996,1,1,0
Patris1996 (Study 91301 - FDA),84,citalopram,24,173,1996,1,1,0
Bougerol1997 (Study 91302 - FDA),85,fluoxetine,45,158,1997,1,2,0
Bougerol1997 (Study 91302 - FDA),85,citalopram,48,158,1997,1,2,0
Perahia2008a (HMBU) (NCT00071695),113,duloxetine,35,166,2004,1,1,0
Perahia2008a (HMBU) (NCT00071695),113,venlafaxine,22,166,2004,1,1,0
Perahia2008b (HMCQ) (NCT00067912),115,duloxetine,44,164,2004,1,2,0
Perahia2008b (HMCQ) (NCT00067912),115,venlafaxine,68,340,2004,1,2,0
Lee2007 (F1J-AA-HMCV) (NCT00489775),117,duloxetine,72,238,2005,1,2,0
Lee2007 (F1J-AA-HMCV) (NCT00489775),117,paroxetine,57,240,2005,1,2,0
Hao2014,125,duloxetine,32,140,2012,0,2,0
Hao2014,125,paroxetine,36,141,2012,0,2,0
SCT-MD-09,129,escitalopram,1,16,2001,1,2,1
SCT-MD-09,129,fluoxetine,2,14,2001,1,2,1
Kennedy2005 (SCT-MD-16),130,escitalopram,36,102,2001,1,2,1
Kennedy2005 (SCT-MD-16),130,fluoxetine,26,103,2001,1,2,1
Bielski2004 (SCT-MD-12),132,escitalopram,29,101,2002,1,1,0
Bielski2004 (SCT-MD-12),132,venlafaxine,35,101,2002,1,1,0
Montgomery2004a (Study 99067),133,escitalopram,23,148,2002,1,1,0
Montgomery2004a (Study 99067),133,venlafaxine,21,145,2002,1,1,0
Ventura2007 (SCT-MD-18),135,escitalopram,19,107,2003,1,1,0
Ventura2007 (SCT-MD-18),135,sertraline,15,108,2003,1,1,0
Lalit2004,136,escitalopram,4,69,2004,0,2,0
Lalit2004,136,citalopram,3,74,2004,0,2,0
Lalit2004,136,sertraline,9,71,2004,0,2,0
Colonna2005 (Study 99022),139,escitalopram,25,175,2005,1,1,0
Colonna2005 (Study 99022),139,citalopram,30,182,2005,1,1,0
Moore2005,140,escitalopram,10,142,2005,0,1,0
Moore2005,140,citalopram,25,152,2005,0,1,0
Baldwin2006b (Study 99505),142,paroxetine,14,159,2006,1,1,0
Baldwin2006b (Study 99505),142,escitalopram,15,166,2006,1,1,0
Wade2007 (Study 10990),143,escitalopram,31,144,2006,1,1,0
Wade2007 (Study 10990),143,duloxetine,37,151,2006,1,1,0
Khan2007 (SCT-MD-23) (NCT00108979),144,escitalopram,21,140,2006,1,2,0
Khan2007 (SCT-MD-23) (NCT00108979),144,duloxetine,46,138,2006,1,2,0
Boulenger2006 (Study 10351),145,escitalopram,22,232,2006,1,2,0
Boulenger2006 (Study 10351),145,paroxetine,34,227,2006,1,2,0
Yevtushenko2007,147,escitalopram,1,109,2007,0,1,0
Yevtushenko2007,147,citalopram,2,110,2007,0,1,0
Mao2008,148,fluoxetine,17,117,2008,0,1,0
Mao2008,148,escitalopram,15,123,2008,0,1,0
Jiang2009,150,escitalopram,1,32,2009,0,1,0
Jiang2009,150,citalopram,2,32,2009,0,1,0
Ou2010,151,citalopram,18,120,2010,0,1,0
Ou2010,151,escitalopram,19,120,2010,0,1,0
Li2010,152,escitalopram,2,24,2010,0,2,0
Li2010,152,citalopram,3,24,2010,0,2,0
Chouinard1985,168,fluoxetine,4,25,1985,0,2,0
Chouinard1985,168,amitriptyline,6,28,1985,0,2,0
Young1987  ,172,fluoxetine,7,32,1987,0,2,0
Young1987  ,172,amitriptyline,7,32,1987,0,2,0
DeRonchi1998,174,fluoxetine,9,32,1988,0,2,0
DeRonchi1998,174,amitriptyline,11,33,1988,0,2,0
Debus1988,175,fluoxetine,8,22,1988,0,2,0
Debus1988,175,trazodone,10,21,1988,0,2,0
Upward1988,176,fluoxetine,2,13,1988,0,2,0
Upward1988,176,amitriptyline,2,14,1988,0,2,0
Falk1989,179,trazodone,10,13,1989,0,2,0
Falk1989,179,fluoxetine,4,14,1989,0,2,0
Fawcett1989,180,amitriptyline,11,20,1989,0,2,0
Fawcett1989,180,fluoxetine,8,20,1989,0,2,0
Ropert1989  ,183,fluoxetine,16,71,1989,0,2,0
Ropert1989  ,183,clomipramine,24,72,1989,0,2,0
Fudge1990,184,fluoxetine,5,21,1990,0,2,0
Fudge1990,184,trazodone,2,17,1990,0,2,0
Kerkhofs1990,185,fluoxetine,7,16,1990,0,2,0
Kerkhofs1990,185,amitriptyline,8,18,1990,0,2,0
Noguera1991,186,clomipramine,16,60,1991,0,2,0
Noguera1991,186,fluoxetine,13,60,1991,0,2,0
Keegan1991,187,fluoxetine,2,20,1991,0,1,0
Keegan1991,187,amitriptyline,3,22,1991,0,1,0
Preskorn1991,188,fluoxetine,6,30,1991,0,2,0
Preskorn1991,188,amitriptyline,16,31,1991,0,2,0
Beasley1991,189,trazodone,23,61,1991,0,2,0
Beasley1991,189,fluoxetine,20,65,1991,0,2,0
Judd1993,190,fluoxetine,7,30,1993,0,2,0
Judd1993,190,amitriptyline,5,28,1993,0,2,0
Demyttenaere1998  ,195,amitriptyline,14,31,1998,0,2,0
Demyttenaere1998  ,195,fluoxetine,6,35,1998,0,2,0
Marchesi1998  ,196,fluoxetine,7,67,1998,0,1,0
Marchesi1998  ,196,amitriptyline,10,75,1998,0,1,0
