study,id,t,r,n,study_year,unpublished_data,rob,unpublished
Hale2010 (CL3-20098-045),8,agomelatine,177,252,2008,1,1,0
Hale2010 (CL3-20098-045),8,fluoxetine,164,263,2008,1,1,0
Montgomery2004b (CL3-20098-030),10,agomelatine,106,167,2001,1,1,0
Montgomery2004b (CL3-20098-030),10,paroxetine,120,168,2001,1,1,0
CL3-20098-036,11,agomelatine,113,137,2004,1,1,0
CL3-20098-036,11,venlafaxine,111,140,2004,1,1,0
CL3-20098-048,12,agomelatine,127,213,2008,1,1,0
CL3-20098-048,12,paroxetine,118,199,2008,1,1,0
"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ",13,agomelatine,205,314,2008,1,1,0
"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ",13,fluoxetine,209,314,2008,1,1,0
"
Quera-Salva2010 (CL3-20098-056)",14,agomelatine,44,71,2008,1,1,0
"
Quera-Salva2010 (CL3-20098-056)",14,escitalopram,36,67,2008,1,1,0
CL3-20098-062,15,agomelatine,131,202,2010,1,1,0
CL3-20098-062,15,duloxetine,153,216,2010,1,1,0
Corruble2013 (CL3-20098-063),16,agomelatine,134,164,2008,1,1,0
Corruble2013 (CL3-20098-063),16,escitalopram,128,160,2008,1,1,0
Lemoine2007 (CL3-20098-035),18,agomelatine,126,165,2004,1,2,0
Lemoine2007 (CL3-20098-035),18,venlafaxine,115,167,2004,1,2,0
Feighner1991,51,fluoxetine,35,62,1991,0,2,0
Feighner1991,51,bupropion,37,61,1991,0,2,0
Weisler1994,52,bupropion,33,63,1994,0,2,0
Weisler1994,52,trazodone,21,61,1994,0,2,0
Caligiuri2003,58,bupropion,3,7,2000,0,2,0
Caligiuri2003,58,sertraline,4,9,2000,0,2,0
Thase2006 (WELL 100368),60,bupropion,86,171,2005,1,2,0
Thase2006 (WELL 100368),60,venlafaxine,82,177,2006,1,2,0
WELL AK140016,74,bupropion,35,69,2001,1,2,1
WELL AK140016,74,paroxetine,36,71,2001,1,2,1
Andersen1986,81,citalopram,23,57,1986,0,2,0
Andersen1986,81,clomipramine,31,57,1986,0,2,0
Timmerman1993 (Study 89422 - FDA and Haffmans 1996),83,fluvoxamine,31,109,1993,1,1,0
Timmerman1993 (Study 89422 - FDA and Haffmans 1996),83,citalopram,33,108,1993,1,1,0
Patris1996 (Study 91301 - FDA),84,fluoxetine,123,184,1996,1,1,0
Patris1996 (Study 91301 - FDA),84,citalopram,120,173,1996,1,1,0
Bougerol1997 (Study 91302 - FDA),85,fluoxetine,109,158,1997,1,2,0
Bougerol1997 (Study 91302 - FDA),85,citalopram,102,158,1997,1,2,0
Hsu2011,92,citalopram,9,25,2011,0,2,0
Hsu2011,92,sertraline,6,26,2011,0,2,0
Perahia2008a (HMBU) (NCT00071695),113,duloxetine,85,166,2004,1,1,0
Perahia2008a (HMBU) (NCT00071695),113,venlafaxine,91,166,2004,1,1,0
Perahia2008b (HMCQ) (NCT00067912),115,duloxetine,79,164,2004,1,2,0
Perahia2008b (HMCQ) (NCT00067912),115,venlafaxine,170,340,2004,1,2,0
Lee2007 (F1J-AA-HMCV) (NCT00489775),117,duloxetine,144,238,2005,1,2,0
Lee2007 (F1J-AA-HMCV) (NCT00489775),117,paroxetine,157,240,2005,1,2,0
Hao2014,125,duloxetine,86,140,2012,0,2,0
Hao2014,125,paroxetine,74,141,2012,0,2,0
Kennedy2005 (SCT-MD-16),130,escitalopram,61,102,2001,1,2,1
Kennedy2005 (SCT-MD-16),130,fluoxetine,63,103,2001,1,2,1
Bielski2004 (SCT-MD-12),132,escitalopram,59,101,2002,1,1,0
Bielski2004 (SCT-MD-12),132,venlafaxine,47,101,2002,1,1,0
Montgomery2004a (Study 99067),133,escitalopram,113,148,2002,1,1,0
Montgomery2004a (Study 99067),133,venlafaxine,113,145,2002,1,1,0
Ventura2007 (SCT-MD-18),135,escitalopram,75,107,2003,1,1,0
Ventura2007 (SCT-MD-18),135,sertraline,74,108,2003,1,1,0
Lalit2004,136,escitalopram,62,69,2004,0,2,0
Lalit2004,136,citalopram,64,74,2004,0,2,0
Lalit2004,136,sertraline,69,71,2004,0,2,0
Colonna2005 (Study 99022),139,escitalopram,104,175,2005,1,1,0
Colonna2005 (Study 99022),139,citalopram,96,182,2005,1,1,0
Moore2005,140,escitalopram,105,142,2005,0,1,0
Moore2005,140,citalopram,87,152,2005,0,1,0
Baldwin2006b (Study 99505),142,paroxetine,111,159,2006,1,1,0
Baldwin2006b (Study 99505),142,escitalopram,112,166,2006,1,1,0
Wade2007 (Study 10990),143,escitalopram,94,144,2006,1,1,0
Wade2007 (Study 10990),143,duloxetine,81,151,2006,1,1,0
Khan2007 (SCT-MD-23) (NCT00108979),144,escitalopram,61,140,2006,1,2,0
Khan2007 (SCT-MD-23) (NCT00108979),144,duloxetine,52,138,2006,1,2,0
Boulenger2006 (Study 10351),145,escitalopram,144,232,2006,1,2,0
Boulenger2006 (Study 10351),145,paroxetine,128,227,2006,1,2,0
Li2006,146,escitalopram,22,28,2006,0,2,0
Li2006,146,citalopram,19.012,28,2006,0,2,0
Yevtushenko2007,147,escitalopram,103,109,2007,0,1,0
Yevtushenko2007,147,citalopram,90,110,2007,0,1,0
Mao2008,148,fluoxetine,89,117,2008,0,1,0
Mao2008,148,escitalopram,94,123,2008,0,1,0
Hu2009,149,escitalopram,21,25,2009,0,2,0
Hu2009,149,citalopram,18.998,23,2009,0,2,0
Jiang2009,150,escitalopram,30,32,2009,0,1,0
Jiang2009,150,citalopram,31,32,2009,0,1,0
Ou2010,151,citalopram,87,120,2010,0,1,0
Ou2010,151,escitalopram,83,120,2010,0,1,0
Li2010,152,escitalopram,19.9992,24,2010,0,2,0
Li2010,152,citalopram,18.9992,24,2010,0,2,0
Lv2013,156,escitalopram,16,20,2013,0,2,0
Lv2013,156,citalopram,17,22,2013,0,2,0
Chouinard1985,168,fluoxetine,8,25,1985,0,2,0
Chouinard1985,168,amitriptyline,15,28,1985,0,2,0
DeRonchi1998,174,fluoxetine,16,32,1988,0,2,0
DeRonchi1998,174,amitriptyline,18,33,1988,0,2,0
Debus1988,175,fluoxetine,9,22,1988,0,2,0
Debus1988,175,trazodone,9,21,1988,0,2,0
Laakman1988  ,177,fluoxetine,55,63,1988,0,2,0
Laakman1988  ,177,amitriptyline,57,65,1988,0,2,0
Falk1989,179,trazodone,4,13,1989,0,2,0
Falk1989,179,fluoxetine,8,14,1989,0,2,0
Fawcett1989,180,amitriptyline,7,20,1989,0,2,0
Fawcett1989,180,fluoxetine,8,20,1989,0,2,0
Manna1989,181,fluoxetine,12,15,1989,0,2,0
Manna1989,181,clomipramine,11,15,1989,0,2,0
Ginestet1989,182,fluoxetine,22,28,1989,0,2,0
Ginestet1989,182,clomipramine,18,26,1989,0,2,0
Ropert1989  ,183,fluoxetine,42,71,1989,0,2,0
Ropert1989  ,183,clomipramine,31,72,1989,0,2,0
Fudge1990,184,fluoxetine,10,21,1990,0,2,0
Fudge1990,184,trazodone,13,17,1990,0,2,0
Kerkhofs1990,185,fluoxetine,6,16,1990,0,2,0
Kerkhofs1990,185,amitriptyline,6,18,1990,0,2,0
Noguera1991,186,clomipramine,32,60,1991,0,2,0
Noguera1991,186,fluoxetine,37,60,1991,0,2,0
Keegan1991,187,fluoxetine,12,20,1991,0,1,0
Keegan1991,187,amitriptyline,16,22,1991,0,1,0
Preskorn1991,188,fluoxetine,12,30,1991,0,2,0
Preskorn1991,188,amitriptyline,8,31,1991,0,2,0
Beasley1991,189,trazodone,34,61,1991,0,2,0
Beasley1991,189,fluoxetine,33,65,1991,0,2,0
Judd1993,190,fluoxetine,15,30,1993,0,2,0
Judd1993,190,amitriptyline,12,28,1993,0,2,0
Demyttenaere1998  ,195,amitriptyline,18,31,1998,0,2,0
Demyttenaere1998  ,195,fluoxetine,22,35,1998,0,2,0
Marchesi1998  ,196,fluoxetine,45,67,1998,0,1,0
Marchesi1998  ,196,amitriptyline,59,75,1998,0,1,0
OntiverosSanchez1998  ,197,fluoxetine,7,21,1998,0,2,0
OntiverosSanchez1998  ,197,amitriptyline,6,21,1998,0,2,0
Versiani1999,198,fluoxetine,57,77,1999,0,1,0
Versiani1999,198,amitriptyline,58,80,1999,0,1,0
Fava2002,201,sertraline,70,96,2002,0,2,0
Fava2002,201,fluoxetine,57,92,2002,0,2,0
Fava2002,201,paroxetine,64,96,2002,0,2,0
DeWilde1983a,209,fluvoxamine,16,22,1983,0,1,0
DeWilde1983a,209,clomipramine,17,21,1983,0,1,0
Remick1994,220,amitriptyline,5,17,1994,0,2,0
Remick1994,220,fluvoxamine,9,16,1994,0,2,0
Nemeroff1995,221,fluvoxamine,27,49,1995,0,2,0
Nemeroff1995,221,sertraline,23,48,1995,0,2,0
Ottevanger1995,222,fluvoxamine,13,20,1995,0,1,0
Ottevanger1995,222,clomipramine,16,20,1995,0,1,0
Rapaport1996,223,fluvoxamine,30,51,1996,0,1,0
Rapaport1996,223,fluoxetine,29,49,1996,0,1,0
Kiev1997,226,fluvoxamine,17,30,1997,0,2,0
Kiev1997,226,paroxetine,16,30,1997,0,2,0
Murasaki1998,227,fluvoxamine,51,113,1998,0,1,0
Murasaki1998,227,amitriptyline,54,122,1998,0,1,0
Dalery2003,228,fluvoxamine,53,90,2003,0,2,0
Dalery2003,228,fluoxetine,54,94,2003,0,2,0
Rossini2005,229,fluvoxamine,29,40,2005,0,1,0
Rossini2005,229,sertraline,28,48,2005,0,1,0
Harris1991,230,fluvoxamine,13,35,1991,0,2,0
Harris1991,230,amitriptyline,21,34,1991,0,2,0
Ansseau1989a,239,milnacipran,53,95,1989,0,2,0
Ansseau1989a,239,amitriptyline,35,49,1989,0,2,0
Ansseau1989b,240,milnacipran,28,44,1989,0,1,0
Ansseau1989b,240,amitriptyline,22,43,1989,0,1,0
Ansseau1991,241,fluvoxamine,22,41,1991,0,2,0
Ansseau1991,241,milnacipran,56,85,1991,0,2,0
Ansseau1994b,242,milnacipran,32,97,1994,0,1,0
Ansseau1994b,242,fluoxetine,43,93,1994,0,1,0
Leinonen1997,243,milnacipran,32,52,1997,0,1,0
Leinonen1997,243,clomipramine,32,55,1997,0,1,0
Guelfi1998,244,milnacipran,109,200,1998,0,1,0
Guelfi1998,244,fluoxetine,51,100,1998,0,1,0
Clerc2001,245,fluvoxamine,32,56,2001,0,2,0
Clerc2001,245,milnacipran,40,57,2001,0,2,0
Yang2003,246,milnacipran,4,27,2003,0,2,0
Yang2003,246,sertraline,2,26,2003,0,2,0
Sechter2004,247,milnacipran,86,149,2004,0,2,0
Sechter2004,247,paroxetine,91,153,2004,0,2,0
Kamijima2013 (japicCTI-090733),248,milnacipran,338,604,2013,0,1,0
Kamijima2013 (japicCTI-090733),248,paroxetine,171,301,2013,0,1,0
vanMoffaert1995b,258,mirtazapine,61,100,1995,0,2,0
vanMoffaert1995b,258,trazodone,51,100,1995,0,2,0
Wheatley1998,262,mirtazapine,39,66,1996,0,1,0
Wheatley1998,262,fluoxetine,28,67,1996,0,1,0
Leinonen1999 (Agren1995),263,mirtazapine,116,137,1999,0,1,0
Leinonen1999 (Agren1995),263,citalopram,117,133,1999,0,1,0
Benkert2000 (E-1559),264,mirtazapine,74,139,2000,1,2,0
Benkert2000 (E-1559),264,paroxetine,66,136,2000,1,2,0
Schatzberg2002 (003-901),265,mirtazapine,72,128,2002,1,1,0
Schatzberg2002 (003-901),265,paroxetine,60,126,2002,1,1,0
Hong2003 (22521),266,mirtazapine,35,66,2000,1,2,0
Hong2003 (22521),266,fluoxetine,30,66,2000,1,2,0
"Behnke2003 (E-1690, Kjernisted2002)",267,mirtazapine,117,176,2003,1,2,0
"Behnke2003 (E-1690, Kjernisted2002)",267,sertraline,114,170,2003,1,2,0
Wade2003 (E-1721),268,mirtazapine,35,99,2003,1,1,0
Wade2003 (E-1721),268,paroxetine,40,98,2003,1,1,0
Winokur2003,269,mirtazapine,8,8,2003,0,1,0
Winokur2003,269,fluoxetine,6,12,2003,0,1,0
Amini2005,270,mirtazapine,12,18,2005,0,1,0
Amini2005,270,fluoxetine,8,18,2005,0,1,0
Versiani2005,271,mirtazapine,106,145,2005,0,1,0
Versiani2005,271,fluoxetine,104,149,2005,0,1,0
Szegedi2006,272,mirtazapine,72,130,2006,0,1,0
Szegedi2006,272,venlafaxine,62,128,2006,0,1,0
"Murasaki2010a (iQWIG22532, Schoemaker2002)",277,mirtazapine,61,104,2000,1,1,0
"Murasaki2010a (iQWIG22532, Schoemaker2002)",277,fluvoxamine,70,105,2000,1,1,0
"Murasaki2010b (iQWIG9902, Schoemaker2002)",278,mirtazapine,71,101,2002,1,1,0
"Murasaki2010b (iQWIG9902, Schoemaker2002)",278,fluvoxamine,57,102,2002,1,1,0
Benkert2006(C-1763),279,mirtazapine,70,140,2003,1,1,0
Benkert2006(C-1763),279,venlafaxine,56,135,2003,1,1,0
E-1569,280,mirtazapine,40,73,1996,1,1,1
E-1569,280,paroxetine,48,75,1996,1,1,1
"Debonnel2000 (Blier2009, iQWIG E-1639)",281,mirtazapine,4,21,2000,1,2,0
"Debonnel2000 (Blier2009, iQWIG E-1639)",281,paroxetine,9,21,2000,1,2,0
Armitage1997,284,nefazodone,11,22,1997,0,2,0
Armitage1997,284,fluoxetine,11,21,1997,0,2,0
Baldwin1996,285,nefazodone,58,105,1996,0,2,0
Baldwin1996,285,paroxetine,58,101,1996,0,2,0
Berlanga1997,286,nefazodone,17,37,1997,0,2,0
Berlanga1997,286,fluoxetine,18,37,1997,0,2,0
Feiger1996,289,nefazodone,42,78,1996,0,2,0
Feiger1996,289,sertraline,41,82,1996,0,2,0
Gillin1997,292,nefazodone,12,24,1997,0,1,0
Gillin1997,292,fluoxetine,8,20,1997,0,1,0
Hicks2002,293,nefazodone,11,20,2002,0,1,0
Hicks2002,293,paroxetine,16,20,2002,0,1,0
PAR 29060.318 (HP/82/64A),305,paroxetine,4,9,1983,1,1,1
PAR 29060.318 (HP/82/64A),305,amitriptyline,3,12,1983,1,1,1
PAR 29060.310 (HP 81/85A),307,paroxetine,2,10,1984,1,2,1
PAR 29060.310 (HP 81/85A),307,amitriptyline,5,13,1984,1,2,1
PAR 29060/281 ,311,paroxetine,30,82,1985,1,2,1
PAR 29060/281 ,311,amitriptyline,43,80,1985,1,2,1
PAR MDUK 032,312,paroxetine,15,29,1986,1,2,1
PAR MDUK 032,312,amitriptyline,14,30,1986,1,2,1
Kuhs1989 (MDUK_29060_III_85_043),324,paroxetine,7,12,1987,1,2,0
Kuhs1989 (MDUK_29060_III_85_043),324,amitriptyline,4,12,1987,1,2,0
Guillibert1989 (PAR 290 MDF 29060 1727 M),326,clomipramine,28,39,1988,1,2,0
Guillibert1989 (PAR 290 MDF 29060 1727 M),326,paroxetine,26,40,1988,1,2,0
Pelicier1993 (PAR MDED/29060/III/86/1728M291),327,clomipramine,25,42,1988,1,2,0
Pelicier1993 (PAR MDED/29060/III/86/1728M291),327,paroxetine,29,41,1988,1,2,0
MDF/29060/III/070/88/MC,329,paroxetine,22,32,1989,1,2,1
MDF/29060/III/070/88/MC,329,clomipramine,12,30,1989,1,2,1
"Rouillon1991 (Limosin2006, 029060/1/CPMS 069 1991)",330,paroxetine,27,45,1989,1,2,0
"Rouillon1991 (Limosin2006, 029060/1/CPMS 069 1991)",330,clomipramine,23,47,1989,1,2,0
Geretsegger1995 (MY-060/BRL-029060/1),331,paroxetine,21,44,1990,1,2,0
Geretsegger1995 (MY-060/BRL-029060/1),331,amitriptyline,24,47,1990,1,2,0
DUAG1990,332,paroxetine,23,62,1990,0,2,0
DUAG1990,332,clomipramine,31,58,1990,0,2,0
Tignol1993 (29060/087),335,paroxetine,53,89,1991,1,1,0
Tignol1993 (29060/087),335,fluoxetine,54,87,1991,1,1,0
Schoene1993 (Geretsegger1994 MY1021/BRC),336,paroxetine,19,54,1991,1,1,0
Schoene1993 (Geretsegger1994 MY1021/BRC),336,fluoxetine,8,52,1991,1,1,0
Ontiveros1994 (MY-0144/BRL 29060/1/CPMS-135 (PAR135)),337,paroxetine,41,60,1992,1,1,0
Ontiveros1994 (MY-0144/BRL 29060/1/CPMS-135 (PAR135)),337,fluoxetine,35,62,1992,1,1,0
Bignamini1992 (PAR 29060/078),338,paroxetine,82,156,1992,1,1,0
Bignamini1992 (PAR 29060/078),338,amitriptyline,91,153,1992,1,1,0
Hutchinson1992,339,amitriptyline,15,32,1992,0,2,0
Hutchinson1992,339,paroxetine,34,58,1992,0,2,0
Staner1995 (063),340,paroxetine,7,21,1992,1,2,0
Staner1995 (063),340,amitriptyline,9,19,1992,1,2,0
Ansseau1994a (MY-1005/BRL-029060/1/CPMS-112),342,paroxetine,24,55,1992,1,2,0
Ansseau1994a (MY-1005/BRL-029060/1/CPMS-112),342,fluvoxamine,24,65,1992,1,2,0
DeWilde1993,343,paroxetine,25,49,1993,0,1,0
DeWilde1993,343,fluoxetine,26,50,1993,0,1,0
Gagiano1993,344,paroxetine,30,45,1993,0,1,0
Gagiano1993,344,fluoxetine,27,45,1993,0,1,0
29060/356,347,paroxetine,33,68,1994,1,2,1
29060/356,347,fluoxetine,32,70,1994,1,2,1
SER-CHN-1,348,paroxetine,94,113,1994,1,1,1
SER-CHN-1,348,amitriptyline,80,118,1994,1,1,1
"Moller1993 (Stuppaeck1994, MY-059.073/29060/1)",350,paroxetine,43,78,1989,1,2,0
"Moller1993 (Stuppaeck1994, MY-059.073/29060/1)",350,amitriptyline,46,75,1989,1,2,0
Christiansen1996,351,paroxetine,46,71,1996,0,2,0
Christiansen1996,351,amitriptyline,48,73,1996,0,2,0
Ravindran1997 (MY-1055/BRL-029060/1/CPMS-245 PAR 245),356,paroxetine,328,513,1994,1,2,0
Ravindran1997 (MY-1055/BRL-029060/1/CPMS-245 PAR 245),356,clomipramine,317,506,1994,1,2,0
Chouinard1999 (29060/131),359,paroxetine,67,102,1999,1,1,0
Chouinard1999 (29060/131),359,fluoxetine,67,101,1999,1,1,0
Tsutsui2000,360,paroxetine,65,116,2000,0,1,0
