study,id,t,r,n,study_year,unpublished_data,rob,unpublished
CL3-20098-022,1,agomelatine,68,133,2001,1,2,0
CL3-20098-022,1,fluoxetine,77,137,2001,1,2,0
CL3-20098-022,1,placebo,69,149,2001,1,2,0
CL3-20098-023,2,agomelatine,71,142,2001,1,1,0
CL3-20098-023,2,paroxetine,74,138,2001,1,1,0
CL3-20098-023,2,placebo,63,137,2001,1,1,0
Kennedy2006 (CL3-20098-043),3,agomelatine,52,107,2003,1,1,0
Kennedy2006 (CL3-20098-043),3,placebo,36,105,2003,1,1,0
Olie2007 (CL3-20098-042),4,agomelatine,63,118,2004,1,1,0
Olie2007 (CL3-20098-042),4,placebo,42,120,2004,1,1,0
Stahl2010 (CAGO178A2302),5,agomelatine,141,337,2008,1,2,0
Stahl2010 (CAGO178A2302),5,placebo,54,166,2008,1,2,0
Zajecka2010 (CAGO178A2301) (NCT00411099),6,agomelatine,146,338,2008,1,1,0
Zajecka2010 (CAGO178A2301) (NCT00411099),6,placebo,63,173,2008,1,1,0
CL3-20098-024,7,agomelatine,175,301,2002,1,1,0
CL3-20098-024,7,fluoxetine,89,148,2002,1,1,0
CL3-20098-024,7,placebo,91,158,2002,1,1,0
Hale2010 (CL3-20098-045),8,agomelatine,177,252,2008,1,1,0
Hale2010 (CL3-20098-045),8,fluoxetine,164,263,2008,1,1,0
CL3-20098-026,9,agomelatine,51,109,2001,1,1,0
CL3-20098-026,9,placebo,50,109,2001,1,1,0
Montgomery2004b (CL3-20098-030),10,agomelatine,106,167,2001,1,1,0
Montgomery2004b (CL3-20098-030),10,paroxetine,120,168,2001,1,1,0
CL3-20098-036,11,agomelatine,113,137,2004,1,1,0
CL3-20098-036,11,venlafaxine,111,140,2004,1,1,0
CL3-20098-048,12,agomelatine,127,213,2008,1,1,0
CL3-20098-048,12,paroxetine,118,199,2008,1,1,0
"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ",13,agomelatine,205,314,2008,1,1,0
"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ",13,fluoxetine,209,314,2008,1,1,0
"
Quera-Salva2010 (CL3-20098-056)",14,agomelatine,44,71,2008,1,1,0
"
Quera-Salva2010 (CL3-20098-056)",14,escitalopram,36,67,2008,1,1,0
CL3-20098-062,15,agomelatine,131,202,2010,1,1,0
CL3-20098-062,15,duloxetine,153,216,2010,1,1,0
Corruble2013 (CL3-20098-063),16,agomelatine,134,164,2008,1,1,0
Corruble2013 (CL3-20098-063),16,escitalopram,128,160,2008,1,1,0
CL3-20098-070,17,agomelatine,88,151,2011,1,1,0
CL3-20098-070,17,placebo,27,71,2011,1,1,0
Lemoine2007 (CL3-20098-035),18,agomelatine,126,165,2004,1,2,0
Lemoine2007 (CL3-20098-035),18,venlafaxine,115,167,2004,1,2,0
CAGO178A2303 (NCT00463242),19,agomelatine,70,169,2008,1,2,1
CAGO178A2303 (NCT00463242),19,paroxetine,91,168,2008,1,2,1
CAGO178A2303 (NCT00463242),19,placebo,61,166,2008,1,2,1
Loo2002 (CL2-014),20,agomelatine,83,137,2002,1,2,0
Loo2002 (CL2-014),20,placebo,63,139,2002,1,2,0
Loo2002 (CL2-014),20,paroxetine,81,147,2002,1,2,0
"Kennedy2014 (EudraCT 2009-011238-84, CL3-20098-069)",21,agomelatine,141,275,2009,1,1,0
"Kennedy2014 (EudraCT 2009-011238-84, CL3-20098-069)",21,placebo,35,141,2009,1,1,0
Heun2013 (lSRCTl\l5750736O),22,agomelatine,88,151,2009,0,1,0
Heun2013 (lSRCTl\l5750736O),22,placebo,27,71,2009,0,1,0
Feighner1979,23,amitriptyline,41,93,1979,0,1,0
Feighner1979,23,placebo,16,50,1979,0,1,0
Shipley1981,27,amitriptyline,43,53,1981,0,2,0
Shipley1981,27,placebo,6,23,1981,0,2,0
Claghorn1983,30,amitriptyline,49,85,1983,0,1,0
Claghorn1983,30,placebo,36,87,1983,0,1,0
Hormazabal1985,32,amitriptyline,13,20,1985,0,1,0
Hormazabal1985,32,placebo,6,20,1985,0,1,0
Rickels1985,34,amitriptyline,85,124,1985,0,2,0
Rickels1985,34,placebo,44,130,1985,0,2,0
Amsterdam1986,35,amitriptyline,31,55,1986,0,2,0
Amsterdam1986,35,placebo,15,54,1986,0,2,0
Hicks1988,36,amitriptyline,11,16,1988,0,2,0
Hicks1988,36,placebo,5,15,1988,0,2,0
Paykel1988,37,amitriptyline,28,45,1988,0,2,0
Paykel1988,37,placebo,23,55,1988,0,2,0
Gelenberg1990,38,amitriptyline,6,19,1990,0,2,0
